genre,metascore,movie,rate,time,votes,year
"
Crime, Drama, Romance            ",57,Lila dit ça,7.0,89 min,4286,(2004)
"
Drama, Music, Romance            ",75,Clean,6.9,111 min,4214,(I) (2004)
"
Drama, Fantasy, Romance            ",78,Sud pralad,7.3,118 min,4199,(2004)
"
Documentary, History, Sport            ",80,Riding Giants,7.9,105 min,4093,(2004)
"
Drama            ",63,El perro,7.1,97 min,3993,(2004)
"
Comedy, Drama            ",46,Around the Bend,6.5,85 min,3975,(2004)
"
Action, Adventure, Comedy            ",44,Matando Cabos,7.5,99 min,3959,(2004)
"
Drama            ",69,Shah-re ziba,7.8,101 min,3949,(2004)
"
Documentary            ",83,The White Diamond,7.5,88 min,3949,(2004)
"
Comedy, Romance            ",47,The Last Shot,5.7,93 min,3942,(2004)
"
Drama            ",80,Tonî Takitani,7.4,105 min,3887,(2004)
"
Drama, Comedy, Romance            ",46,Touch of Pink,6.6,91 min,3778,(2004)
"
Horror            ",13,Murder-Set-Pieces,3.8,105 min,3727,(2004)
"
Drama, History, Romance            ",73,Trilogia: To livadi pou dakryzei,7.9,170 min,3641,(2004)
"
Comedy, Drama, Mystery            ",47,Silver City,6.1,128 min,3614,(2004)
"
Documentary, History            ",78,The Power of Nightmares: The Rise of the Politics of Fear,8.9,157 min,3570,(2004)
"
Drama, War            ",62,Land of Plenty,6.5,123 min,3549,(2004)
"
Adventure, Comedy, Horror            ",62,Incident at Loch Ness,6.6,94 min,3529,(2004)
"
Drama            ",64,The Beautiful Country,7.5,137 min,3508,(2004)
"
Comedy, Drama            ",74,Temporada de patos,7.3,90 min,3479,(2004)
"
Biography, Drama, Romance            ",45,Bobby Jones: Stroke of Genius,6.7,120 min,3470,(2004)
"
Action, Adventure            ",70,Batman Begins,8.3,140 min,1139205,(2005)
"
Action, Drama, Sci-Fi            ",62,V for Vendetta,8.2,132 min,915216,(2005)
"
Crime, Thriller            ",74,Sin City,8.0,124 min,703015,(2005)
"
Action, Adventure, Fantasy            ",68,Star Wars: Episode III - Revenge of the Sith,7.6,140 min,611020,(2005)
"
Adventure, Family, Fantasy            ",81,Harry Potter and the Goblet of Fire,7.7,157 min,457753,(2005)
"
Action, Comedy, Crime            ",55,Mr. & Mrs. Smith,6.5,120 min,398109,(2005)
"
Adventure, Sci-Fi, Thriller            ",73,War of the Worlds,6.5,116 min,373347,(2005)
"
Adventure, Comedy, Family            ",72,Charlie and the Chocolate Factory,6.7,115 min,370262,(2005)
"
Action, Adventure, Drama            ",81,King Kong,7.2,187 min,353875,(2005)
"
Comedy, Romance            ",73,The 40 Year Old Virgin,7.1,116 min,349173,(2005)
"
Adventure, Family, Fantasy            ",75,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,143 min,325151,(2005)
"
Animation, Adventure, Comedy            ",57,Madagascar,6.9,86 min,311526,(2005)
"
Comedy, Romance            ",64,Wedding Crashers,7.0,119 min,305108,(2005)
"
Action, Adventure, Fantasy            ",40,Fantastic Four,5.7,106 min,289203,(I) (2005)
"
Drama, Romance            ",87,Brokeback Mountain,7.7,134 min,288892,(2005)
"
Action, Adventure, Romance            ",50,The Island,6.9,136 min,282568,(2005)
"
Crime, Drama, Thriller            ",62,Lord of War,7.6,122 min,270234,(2005)
"
Comedy, Romance            ",58,Hitch,6.6,118 min,269429,(I) (2005)
"
Action, Drama, Fantasy            ",50,Constantine,7.0,121 min,265904,(2005)
"
Action, Adventure, Sci-Fi            ",74,Serenity,7.9,119 min,262502,(2005)
"
Action, Adventure, Drama            ",63,Kingdom of Heaven,7.2,144 min,242303,(2005)
"
Drama, Romance            ",82,Pride & Prejudice,7.8,129 min,220258,(2005)
"
Animation, Drama, Family            ",83,Corpse Bride,7.4,77 min,214941,(2005)
"
Horror, Mystery            ",40,Saw II,6.6,93 min,210866,(2005)
"
Biography, Drama, Music            ",72,Walk the Line,7.9,136 min,205517,(2005)
"
Drama, Thriller            ",81,A History of Violence,7.5,96 min,204954,(2005)
"
Comedy, Drama            ",71,Thank You for Smoking,7.6,92 min,202749,(2005)
"
Action, Comedy, Crime            ",72,Kiss Kiss Bang Bang,7.6,103 min,196346,(2005)
"
Drama, History, Thriller            ",74,Munich,7.6,164 min,193226,(2005)
"
Drama, Romance, Thriller            ",72,Match Point,7.6,124 min,185540,(2005)
"
Adventure, Horror, Thriller            ",71,The Descent,7.2,99 min,177314,(2005)
"
Action, Crime, Thriller            ",56,Transporter 2,6.3,87 min,173923,(2005)
"
Adventure, Comedy, Sci-Fi            ",63,The Hitchhiker's Guide to the Galaxy,6.8,109 min,171723,(2005)
"
Biography, Drama, Sport            ",69,Cinderella Man,8.0,144 min,162056,(2005)
"
Biography, Drama, War            ",58,Jarhead,7.0,125 min,157677,(2005)
"
Horror, Mystery, Thriller            ",55,Hostel,5.9,94 min,153788,(2005)
"
Comedy, Crime, Sport            ",48,The Longest Yard,6.4,113 min,145486,(2005)
"
Crime, Drama, Thriller            ",58,Hard Candy,7.1,104 min,143308,(2005)
"
Mystery, Thriller            ",53,Flightplan,6.3,98 min,138987,(2005)
"
Crime, Drama, Sport            ",55,Hooligans,7.5,109 min,130309,(2005)
"
Drama, Romance            ",54,Memoirs of a Geisha,7.4,145 min,128470,(2005)
"
Drama, Mystery, Romance            ",82,The Constant Gardener,7.4,129 min,121737,(2005)
"
Comedy, Crime            ",47,Fun with Dick and Jane,6.1,90 min,121512,(2005)
"
Action, Crime, Drama            ",49,Four Brothers,6.9,109 min,121253,(2005)
"
Drama, Thriller            ",76,Syriana,6.9,128 min,117887,(2005)
"
Animation, Adventure, Comedy            ",64,Robots,6.3,91 min,117371,(2005)
"
Action, Adventure, Drama            ",36,Æon Flux,5.5,93 min,117169,(2005)
"
Biography, Crime, Drama            ",88,Capote,7.4,114 min,113064,(2005)
"
Animation, Adventure, Comedy            ",87,The Curse of the Were-Rabbit,7.5,85 min,110803,(2005)
"
Adventure, Comedy, Fantasy            ",51,The Brothers Grimm,5.9,118 min,107571,(2005)
"
Drama, Horror, Thriller            ",46,The Exorcism of Emily Rose,6.7,119 min,107464,(2005)
"
Biography, Drama, Sport            ",57,Coach Carter,7.3,136 min,105991,(2005)
"
Horror, Mystery, Thriller            ",41,House of Wax,5.3,108 min,104287,(2005)
"
Mystery, Thriller            ",71,Red Eye,6.5,85 min,102413,(2005)
"
Drama, Fantasy, Horror            ",44,The Jacket,7.1,103 min,101136,(2005)
"
Action, Crime, Drama            ",44,Hostage,6.6,113 min,100121,(2005)
"
Drama, Horror, Mystery            ",47,The Skeleton Key,6.5,104 min,96832,(2005)
"
Action, Adventure, Horror            ",34,Doom,5.2,105 min,95786,(2005)
"
Drama, Horror, Mystery            ",33,The Amityville Horror,6.0,90 min,95398,(2005)
"
Comedy, Romance            ",47,Just Friends,6.2,96 min,93296,(I) (2005)
"
Action, Crime, Drama            ",72,Brick,7.4,110 min,92422,(2005)
"
Action, Crime, Drama            ",58,Unleashed,7.0,103 min,91923,(2005)
"
Crime, Mystery, Thriller            ",62,The Interpreter,6.4,128 min,91434,(2005)
"
Comedy, Fantasy, Romance            ",47,Just Like Heaven,6.7,95 min,90422,(2005)
"
Comedy, Drama, Mystery            ",79,Broken Flowers,7.2,106 min,89563,(2005)
"
Biography, Drama, History            ",80,"Good Night, and Good Luck.",7.5,93 min,88632,(2005)
"
Horror, Sci-Fi, Thriller            ",71,Land of the Dead,6.2,93 min,84941,(2005)
"
Action, Adventure, Comedy            ",41,Sahara,6.0,124 min,84292,(2005)
"
Crime, Horror            ",53,The Devil's Rejects,6.9,107 min,83494,(2005)
"
Horror, Mystery, Thriller            ",44,The Ring Two,5.4,110 min,82265,(2005)
"
Action, Adventure, Romance            ",47,The Legend of Zorro,5.9,129 min,82184,(2005)
"
Action, Crime, Drama            ",25,Revolver,6.5,111 min,81762,(2005)
"
Comedy            ",30,Waiting...,6.8,94 min,81568,(I) (2005)
"
Action, Adventure, Comedy            ",67,Zathura: A Space Adventure,6.2,101 min,80066,(2005)
"
Action, Adventure, Crime            ",34,Elektra,4.7,97 min,79219,(2005)
"
Action, Comedy, Drama            ",30,The Pacifier,5.6,95 min,76940,(2005)
"
Biography, Drama, History            ",69,The New World,6.7,135 min,76890,(2005)
"
Drama, Horror, Mystery            ",35,Hide and Seek,5.9,101 min,76251,(2005)
"
Animation, Adventure, Comedy            ",48,Chicken Little,5.8,81 min,74542,(2005)
"
Comedy, Drama            ",61,The Weather Man,6.6,102 min,73330,(2005)
"
Adventure, Comedy            ",33,The Dukes of Hazzard,5.1,104 min,70927,(2005)
"
Action, Crime, Drama            ",54,Assault on Precinct 13,6.3,109 min,69548,(2005)
"
Adventure, Comedy, Family            ",62,Sky High,6.2,100 min,69466,(2005)
"
Action, Adventure, Crime            ",45,Into the Blue,5.8,110 min,68385,(2005)
"
Drama, Mystery, Thriller            ",41,Stay,6.9,99 min,68238,(I) (2005)
"
Comedy, Drama            ",82,The Squid and the Whale,7.4,81 min,67621,(2005)
"
Crime, Drama, Thriller            ",40,Derailed,6.6,108 min,66713,(I) (2005)
"
Drama, Mystery, Thriller            ",83,Caché,7.3,117 min,63646,(2005)
"
Comedy, Fantasy, Romance            ",34,Bewitched,4.8,102 min,63429,(2005)
"
Comedy, Crime, Music            ",37,Be Cool,5.7,118 min,63390,(2005)
"
Comedy, Drama, Romance            ",48,A Lot Like Love,6.6,107 min,63081,(2005)
"
Comedy, Drama, Romance            ",45,Elizabethtown,6.4,123 min,62953,(2005)
"
Crime, Drama, Thriller            ",75,Chinjeolhan geumjassi,7.6,115 min,61791,(2005)
"
Horror, Thriller            ",54,Wolf Creek,6.3,99 min,61485,(2005)
"
Action, Adventure, Crime            ",37,xXx: State of the Union,4.4,101 min,61389,(2005)
"
Action, Biography, Crime            ",36,Domino,6.0,127 min,61337,(2005)
"
Action, Comedy, Crime            ",34,Miss Congeniality 2: Armed & Fabulous,5.1,115 min,59856,(2005)
"
Action, Crime, Drama            ",56,Harsh Times,6.9,116 min,58799,(2005)
"
Comedy, Family, Fantasy            ",59,Nanny McPhee,6.6,97 min,58414,(2005)
"
Drama, Romance, Sport            ",53,Goal!,6.7,118 min,55739,(2005)
"
Comedy, Drama, Romance            ",60,In Her Shoes,6.5,130 min,55565,(2005)
"
Drama, Horror, Thriller            ",52,Dark Water,5.6,105 min,55015,(2005)
"
Comedy, Drama, Romance            ",56,The Family Stone,6.3,103 min,54286,(2005)
"
Comedy, Drama            ",58,Everything Is Illuminated,7.5,106 min,53984,(2005)
"
Documentary, Family            ",79,March of the Penguins,7.6,80 min,51915,(2005)
"
Animation, Comedy, Crime            ",45,Hoodwinked!,6.5,80 min,50893,(2005)
"
Comedy, Romance            ",31,Monster-in-Law,5.5,101 min,49715,(2005)
"
Comedy, Drama, Romance            ",66,The Sisterhood of the Traveling Pants,6.5,119 min,49212,(2005)
"
Action, Adventure, Sci-Fi            ",35,Stealth,5.0,121 min,48638,(2005)
"
Adventure, Comedy, Family            ",34,Cheaper by the Dozen 2,5.5,94 min,48457,(2005)
"
Adventure, Comedy, Drama            ",57,Casanova,6.5,112 min,48198,(2005)
"
Biography, Drama, Sport            ",56,Lords of Dogtown,7.1,107 min,48005,(2005)
"
Biography, Drama, Sport            ",68,The World's Fastest Indian,7.8,127 min,47833,(2005)
"
Comedy, Family, Fantasy            ",20,Son of the Mask,2.2,94 min,47081,(2005)
"
Documentary, Biography            ",87,Grizzly Man,7.8,103 min,46659,(2005)
"
Comedy, Drama, Romance            ",35,Rumor Has It...,5.5,97 min,46326,(2005)
"
Crime, Drama, Western            ",73,The Proposition,7.4,104 min,46148,(2005)
"
Drama, Musical, Romance            ",53,Rent,7.0,135 min,45196,(2005)
"
Comedy            ",23,Deuce Bigalow: European Gigolo,4.6,83 min,44576,(2005)
"
Drama, Horror, Mystery            ",30,White Noise,5.5,101 min,44508,(I) (2005)
"
Comedy, Romance            ",32,The Wedding Date,6.1,90 min,43427,(2005)
"
Comedy, Crime, Drama            ",65,The Matador,6.8,96 min,42146,(2005)
"
Adventure, Comedy, Family            ",47,Herbie Fully Loaded,4.8,101 min,40662,(2005)
"
Comedy, Crime, Drama            ",51,Adams æbler,7.8,94 min,40360,(2005)
"
Biography, Crime, Drama            ",45,Get Rich or Die Tryin',5.2,117 min,40143,(2005)
"
Drama, Sport, Thriller            ",50,Two for the Money,6.2,122 min,39930,(2005)
"
Drama, Mystery            ",64,Proof,6.8,100 min,39906,(2005)
"
Action, Horror, Sci-Fi            ",9,Alone in the Dark,2.3,96 min,39710,(2005)
"
Comedy, Drama, Romance            ",56,Fever Pitch,6.2,104 min,39099,(2005)
"
Adventure, Comedy, Drama            ",66,Transamerica,7.4,103 min,38434,(2005)
"
Comedy, Musical            ",52,The Producers,6.4,134 min,37670,(2005)
"
Comedy, Drama, Romance            ",58,Prime,6.2,105 min,37480,(2005)
"
Comedy, Romance            ",49,Guess Who,5.9,105 min,37064,(2005)
"
Adventure, Crime, Drama            ",77,The Three Burials of Melquiades Estrada,7.4,121 min,36263,(2005)
"
Drama            ",68,North Country,7.3,126 min,36009,(2005)
"
Crime, Drama, Music            ",68,Hustle & Flow,7.4,116 min,35915,(2005)
"
Comedy, Sport            ",46,The Ringer,5.8,94 min,33042,(2005)
"
Comedy, Drama            ",76,Me and You and Everyone We Know,7.3,91 min,33024,(2005)
"
Comedy, Family, Romance            ",45,Kicking & Screaming,5.6,95 min,33014,(2005)
"
Action, Crime, Drama            ",52,Tom yum goong,7.1,111 min,32619,(2005)
"
Action, Adventure, Fantasy            ",18,BloodRayne,2.9,95 min,32078,(2005)
"
Horror            ",27,The Fog,3.6,100 min,31917,(2005)
"
Action, Adventure, Horror            ",30,The Cave,5.1,97 min,31875,(2005)
"
Comedy, Crime            ",53,Keeping Mum,6.8,99 min,30687,(2005)
"
Comedy, Drama            ",81,C.R.A.Z.Y.,8.0,127 min,29526,(2005)
"
Drama, Fantasy, Horror            ",26,Tideland,6.5,120 min,29220,(2005)
"
Comedy, Drama, Fantasy            ",48,Angel-A,7.1,91 min,29117,(2005)
"
Comedy, Romance            ",46,Must Love Dogs,5.9,98 min,28447,(2005)
"
Crime, Drama            ",65,Oliver Twist,6.9,130 min,28190,(2005)
"
Comedy, Horror            ",31,Cursed,5.0,97 min,28160,(2005)
"
Drama, Horror, Mystery            ",32,Boogeyman,4.2,89 min,27995,(2005)
"
Action, Comedy, Horror            ",43,Feast,6.4,95 min,27423,(2005)
"
Drama, Romance            ",49,An Unfinished Life,7.0,108 min,26416,(2005)
"
Crime, Drama            ",70,Tsotsi,7.3,94 min,26326,(2005)
"
Comedy, Drama, Romance            ",49,Imagine Me & You,6.8,90 min,26307,(2005)
"
Comedy, Family, Romance            ",27,The Perfect Man,5.5,100 min,25875,(2005)
"
Adventure, Comedy, Family            ",27,Are We There Yet?,4.6,95 min,25665,(2005)
"
Biography, Drama, History            ",55,The Greatest Game Ever Played,7.5,120 min,24893,(2005)
"
Action, Adventure, Family            ",38,The Adventures of Sharkboy and Lavagirl 3-D,3.5,93 min,24636,(2005)
"
Drama, History, Music            ",70,Joyeux Noël,7.8,116 min,24590,(2005)
"
Drama, Horror, Mystery            ",39,Cry Wolf,5.9,90 min,24444,(2005)
"
Biography, Crime, Drama            ",76,Sophie Scholl - Die letzten Tage,7.6,120 min,24369,(2005)
"
Comedy, Family, Fantasy            ",38,"Yours, Mine & Ours",5.4,88 min,24088,(2005)
"
Drama, History, Horror            ",38,An American Haunting,5.0,83 min,23375,(2005)
"
Action, Comedy, Crime            ",33,The Man,5.6,83 min,23274,(2005)
"
Drama, Romance            ",62,Shopgirl,6.4,106 min,22377,(2005)
"
Comedy, Drama, Family            ",55,Ice Princess,6.0,98 min,22172,(2005)
"
Comedy, Crime, Drama            ",62,The Ice Harvest,6.3,92 min,21885,(2005)
"
Adventure, Fantasy            ",55,Mirrormask,6.9,101 min,21371,(2005)
"
Comedy, Crime            ",35,Man of the House,5.4,100 min,21303,(I) (2005)
"
Crime, Drama, Thriller            ",71,Paradise Now,7.5,90 min,21006,(2005)
"
Drama, Romance            ",24,London,6.6,92 min,20791,(I) (2005)
"
Comedy, Family, Romance            ",52,Little Manhattan,7.6,84 min,20645,(2005)
"
Drama            ",46,Manderlay,7.4,139 min,20374,(2005)
"
Comedy, Drama            ",80,Junebug,7.0,106 min,20334,(2005)
"
Drama, Music            ",67,Last Days,5.8,97 min,20223,(2005)
"
Comedy, Drama            ",63,The Upside of Anger,6.9,118 min,20126,(2005)
"
Action, Drama, War            ",48,The Great Raid,6.7,132 min,19798,(2005)
"
Comedy, Drama            ",69,Thumbsucker,6.6,96 min,19782,(2005)
"
Comedy, Drama            ",59,Breakfast on Pluto,7.3,128 min,19109,(2005)
"
Comedy, Sport            ",65,Bad News Bears,5.8,113 min,18839,(2005)
"
Animation, Adventure, Comedy            ",45,Valiant,5.6,76 min,18177,(2005)
"
Comedy, Drama, Romance            ",67,Les poupées russes,7.0,125 min,17985,(2005)
"
Action, Adventure, Horror            ",24,A Sound of Thunder,4.2,101 min,17714,(2005)
"
Drama, Romance, Thriller            ",65,Down in the Valley,6.4,108 min,17207,(2005)
"
Crime, Drama, Music            ",75,De battre mon coeur s'est arrêté,7.3,108 min,17148,(2005)
"
Comedy, Drama            ",41,The Chumscrubber,7.0,108 min,17026,(2005)
"
Action, Adventure, Drama            ",53,Beowulf & Grendel,5.9,103 min,16559,(2005)
"
Comedy, Drama, Music            ",57,Kinky Boots,7.1,107 min,16188,(2005)
"
Crime, Drama, Mystery            ",47,Where the Truth Lies,6.5,107 min,16029,(2005)
"
Crime, Drama, Romance            ",87,L'enfant,7.5,95 min,15996,(2005)
"
Crime, Drama, Thriller            ",61,13 Tzameti,7.4,93 min,15797,(2005)
"
Documentary, Comedy            ",72,The Aristocrats,6.4,89 min,15498,(2005)
"
Comedy            ",53,Beauty Shop,5.5,105 min,14753,(2005)
"
Comedy, Drama, Music            ",71,Mrs Henderson Presents,7.0,103 min,14367,(2005)
"
Crime, Drama, Horror            ",29,The Quiet,6.4,96 min,14253,(2005)
"
Adventure, Comedy, Drama            ",43,Racing Stripes,5.2,102 min,14117,(2005)
"
Drama, Romance            ",77,Water,7.8,117 min,13406,(I) (2005)
"
Comedy, Crime, Drama            ",31,The Big White,6.4,100 min,13158,(2005)
"
Comedy, Drama, Romance            ",71,Factotum,6.6,94 min,12886,(2005)
"
Comedy, Drama, Romance            ",22,La tigre e la neve,7.1,114 min,12531,(2005)
"
Comedy, Drama, Romance            ",36,Diary of a Mad Black Woman,5.8,116 min,12420,(2005)
"
Crime, Drama, Thriller            ",78,El aura,7.2,134 min,12068,(2005)
"
Comedy            ",80,A Cock and Bull Story,6.8,94 min,11761,(2005)
"
Drama            ",86,Moartea domnului Lãzãrescu,8.0,153 min,11733,(2005)
"
Crime, Drama, Thriller            ",72,Pusher III,7.3,90 min,11661,(2005)
"
Comedy, Family, Sport            ",36,Rebound,5.1,86 min,11426,(2005)
"
Drama, Romance            ",68,The Secret Life of Words,7.5,115 min,11080,(2005)
"
Drama, Family, Sport            ",59,Dreamer: Inspired by a True Story,6.9,106 min,11034,(2005)
"
Comedy, Drama, Romance            ",62,Conversations with Other Women,7.1,84 min,11012,(2005)
"
Documentary, Music            ",73,Metal: A Headbanger's Journey,8.1,96 min,10795,(2005)
"
Comedy, Musical, Romance            ",55,Romance & Cigarettes,6.3,105 min,10712,(2005)
"
Drama, Thriller            ",61,Edmond,6.3,82 min,10469,(2005)
"
Drama, History, War            ",71,Shooting Dogs,7.7,115 min,10374,(2005)
"
Drama            ",59,The Ballad of Jack and Rose,6.7,112 min,10288,(2005)
"
Biography, Drama            ",64,The Notorious Bettie Page,6.6,91 min,9625,(2005)
"
Comedy, Crime, Drama            ",33,Dear Wendy,6.6,105 min,9449,(2005)
"
Documentary, Sport            ",87,Murderball,7.8,88 min,9435,(2005)
"
Documentary, History, War            ",68,Why We Fight,8.1,98 min,9433,(2005)
"
Comedy, Drama, Family            ",54,Because of Winn-Dixie,6.4,106 min,9370,(2005)
"
Comedy, Drama            ",45,Pretty Persuasion,6.6,104 min,9293,(2005)
"
Comedy, Crime, Drama            ",68,El método,7.3,115 min,9144,(2005)
"
Drama, Horror, Thriller            ",55,Dominion: Prequel to the Exorcist,5.3,117 min,9114,(2005)
"
Drama, Fantasy, Horror            ",34,Tamara,5.2,98 min,8929,(2005)
"
Fantasy, Horror, Thriller            ",25,Venom,4.7,87 min,8794,(2005)
"
Drama, Romance            ",47,The Lost City,6.7,144 min,8775,(2005)
"
Action, Drama, Fantasy            ",53,Wu ji,5.6,121 min,8578,(2005)
"
Comedy, Drama, Music            ",57,Happy Endings,6.4,128 min,8521,(2005)
"
Crime, Drama, Thriller            ",73,Hak se wui,7.1,100 min,8342,(2005)
"
Documentary, Comedy, Music            ",84,Dave Chappelle's Block Party,7.2,103 min,8309,(2005)
"
Documentary, Biography, Music            ",77,The Devil and Daniel Johnston,8.0,110 min,8127,(2005)
"
Comedy, Drama, Romance            ",43,Trust the Man,5.7,103 min,8071,(2005)
"
Comedy            ",28,Dirty Deeds,5.9,87 min,7940,(2005)
"
Drama            ",67,Le temps qui reste,7.1,81 min,7892,(2005)
"
Crime, Drama, Romance            ",77,Little Fish,6.3,114 min,7801,(2005)
"
Comedy, Crime, Drama            ",31,In the Mix,2.7,95 min,7727,(2005)
"
Comedy, Drama            ",56,Winter Passing,6.4,98 min,7701,(2005)
"
Comedy            ",57,Strangers with Candy,6.1,97 min,7414,(2005)
"
Comedy, Drama            ",54,Lonesome Jim,6.6,91 min,7267,(2005)
"
Crime, Drama, Mystery            ",63,Bubble,6.6,73 min,7213,(I) (2005)
"
Adventure, Drama, Family            ",82,Duma,7.3,100 min,7069,(2005)
"
Drama, Thriller            ",58,The King,6.6,105 min,6897,(2005)
"
Drama, Music            ",55,Don't Come Knocking,6.7,122 min,6826,(2005)
"
Crime, Drama, Thriller            ",57,Antikörper,7.1,127 min,6722,(2005)
"
Comedy, Drama, Family            ",31,The Honeymooners,3.1,90 min,6688,(2005)
"
Crime, Drama, Horror            ",21,The Zodiac,5.4,92 min,6612,(2005)
"
Action, Comedy, Drama            ",48,Tau man ji D,6.4,107 min,6420,(2005)
"
Drama            ",65,12 and Holding,7.6,94 min,6406,(2005)
"
Drama            ",54,Bee Season,5.5,104 min,6344,(2005)
"
Comedy, Romance            ",9,Dirty Love,3.5,91 min,6317,(2005)
"
Action, Crime, Drama            ",33,Shadowboxer,5.6,93 min,6263,(2005)
"
Drama            ",80,Nine Lives,6.8,115 min,6198,(2005)
"
Biography, Drama            ",58,"The Prize Winner of Defiance, Ohio",7.3,99 min,6158,(2005)
"
Drama, Romance, War            ",87,Sorstalanság,7.0,140 min,6103,(2005)
"
Documentary, Biography, History            ",64,Inside Deep Throat,6.8,89 min,5990,(2005)
"
Comedy, Drama, Music            ",59,Roll Bounce,6.1,112 min,5989,(2005)
"
Comedy, Drama            ",57,Colour Me Kubrick: A True...ish Story,6.2,86 min,5964,(2005)
"
Drama, Thriller            ",54,Fierce People,6.6,107 min,5913,(2005)
"
Comedy            ",45,The Moguls,6.3,96 min,5804,(2005)
"
Drama, History, Romance            ",60,The White Countess,6.7,135 min,5759,(2005)
"
Documentary, Music            ",73,Crossing the Bridge: The Sound of Istanbul,7.9,90 min,5552,(2005)
"
Crime, Drama            ",56,Batalla en el cielo,5.6,98 min,5370,(2005)
"
Comedy, Drama, Romance            ",44,The Wendell Baker Story,5.5,99 min,5360,(2005)
"
Documentary, Comedy, Music            ",63,Sarah Silverman: Jesus Is Magic,6.5,72 min,5183,(2005)
"
Animation, Comedy, Family            ",64,Pooh's Heffalump Movie,6.4,68 min,5169,(2005)
"
Action, Comedy, Crime            ",19,Underclassman,4.1,95 min,5140,(2005)
"
Horror, Thriller            ",63,The Dark Hours,6.1,80 min,5041,(2005)
"
Crime, Drama, Thriller            ",37,Dirty,5.6,97 min,4887,(2005)
"
Drama, Romance            ",80,Zui hao de shi guang,7.0,132 min,4775,(2005)
"
Drama, Mystery, Thriller            ",65,Lemming,6.7,129 min,4683,(2005)
"
Adventure, Biography, Drama            ",45,End of the Spear,7.0,108 min,4632,(2005)
"
Drama            ",73,Qian li zou dan qi,7.4,107 min,4553,(2005)
"
Comedy, Drama, Romance            ",73,The Puffy Chair,6.6,85 min,4524,(2005)
"
Drama, Mystery            ",71,La moustache,6.7,87 min,4523,(2005)
"
Documentary            ",82, Independent Lens,7.9,109 min,4509,(1999– )
"
Drama, Romance, Thriller            ",51,Asylum,6.1,99 min,4487,(2005)
"
Drama            ",64,Princesas,7.0,113 min,4457,(2005)
"
Biography, Crime, Drama            ",68,The Last Hangman,7.5,90 min,4444,(2005)
"
Comedy, Romance            ",51,The Baxter,6.6,91 min,4426,(2005)
"
Comedy, Drama            ",56,Wassup Rockers,6.0,111 min,4382,(2005)
"
Drama, Romance            ",59,Heights,7.0,93 min,4372,(2005)
"
Documentary            ",71,Wal-Mart: The High Cost of Low Price,6.8,98 min,4289,(2005)
"
Comedy, Drama            ",51,Ellie Parker,5.7,95 min,4260,(2005)
"
Comedy, Drama, Musical            ",45,Tian bian yi duo yun,6.6,114 min,4224,(2005)
"
Action, Drama, Romance            ",26,Supercross,4.1,80 min,4166,(2005)
"
Crime, Drama, Thriller            ",85,The Departed,8.5,151 min,1022225,(2006)
"
Drama, Mystery, Sci-Fi            ",66,The Prestige,8.5,130 min,1009790,(2006)
"
Action, Fantasy            ",52,300,7.7,117 min,670515,(2006)
"
Action, Adventure, Fantasy            ",53,Pirates of the Caribbean: Dead Man's Chest,7.3,151 min,591066,(2006)
"
Drama, Fantasy, War            ",98,Pan's Labyrinth,8.2,118 min,547507,(2006)
"
Action, Adventure, Thriller            ",80,Casino Royale,8.0,144 min,521800,(2006)
"
Adventure, Drama, Thriller            ",64,Blood Diamond,8.0,143 min,447633,(2006)
"
Action, Adventure, Sci-Fi            ",58,X-Men: The Last Stand,6.7,104 min,433588,(2006)
"
Drama, Sci-Fi, Thriller            ",84,Children of Men,7.9,109 min,409242,(2006)
"
Comedy, Drama            ",80,Little Miss Sunshine,7.8,101 min,396095,(2006)
"
Biography, Drama            ",64,The Pursuit of Happyness,8.0,117 min,388434,(2006)
"
Mystery, Thriller            ",46,The Da Vinci Code,6.6,149 min,358772,(2006)
"
Drama, Mystery, Romance            ",68,The Illusionist,7.6,110 min,328357,(2006)
"
Comedy, Drama            ",62,The Devil Wears Prada,6.9,109 min,323604,(2006)
"
Comedy            ",89,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,84 min,323438,(2006)
"
Animation, Comedy, Family            ",73,Cars,7.1,117 min,308536,(2006)
"
Drama, Thriller            ",89,The Lives of Others,8.4,137 min,306785,(2006)
"
Crime, Drama, Mystery            ",76,Inside Man,7.6,129 min,302437,(2006)
"
Action, Adventure, Thriller            ",66,Mission: Impossible III,6.9,126 min,292306,(2006)
"
Crime, Drama, Mystery            ",53,Lucky Number Slevin,7.8,110 min,282944,(2006)
"
Comedy, Drama, Fantasy            ",45,Click,6.4,107 min,273799,(2006)
"
Adventure, Comedy, Family            ",48,Night at the Museum,6.4,108 min,272185,(2006)
"
Action, Crime, Horror            ",59,Deja Vu,7.1,126 min,267236,(2006)
"
Drama            ",69,Babel,7.5,143 min,266188,(I) (2006)
"
Action, Adventure, Drama            ",68,Apocalypto,7.8,139 min,262466,(2006)
"
Action, Adventure, Fantasy            ",72,Superman Returns,6.1,154 min,255652,(2006)
"
Animation, Adventure, Comedy            ",58,Ice Age: The Meltdown,6.8,91 min,223093,(2006)
"
Action, Crime, Thriller            ",57,Crank,7.0,88 min,215520,(2006)
"
Crime, Drama, Fantasy            ",56,Perfume: The Story of a Murderer,7.5,147 min,211643,(2006)
