genre,metascore,movie,rate,time,votes,year
"
Comedy, Romance            ",49,Sidewalks of New York,6.5,108 min,6049,(2001)
"
Crime, Horror            ",42,Bones,4.1,96 min,6013,(2001)
"
Action, Crime, Drama            ",54,Chuen jik sat sau,7.0,102 min,5979,(2001)
"
Crime, Drama, Music            ",44,The Caveman's Valentine,5.9,105 min,5935,(2001)
"
Drama            ",91,Atanarjuat,7.5,172 min,5911,(2001)
"
Drama, History, Thriller            ",72,Der Tunnel,7.8,150 min,5644,(2001)
"
Comedy, Romance            ",35,Two Can Play That Game,6.2,90 min,5642,(2001)
"
Drama            ",66,Hundstage,7.1,121 min,5451,(2001)
"
Drama            ",78,Last Orders,7.0,109 min,5309,(2001)
"
Comedy, Drama, Romance            ",48,My First Mister,7.2,109 min,5192,(2001)
"
War, Drama, Action            ",56,Tmavomodrý svet,7.3,112 min,5105,(2001)
"
Action, Adventure, Drama            ",29,Texas Rangers,5.2,90 min,5066,(2001)
"
Crime, Drama            ",31,Sin noticias de Dios,6.5,112 min,5045,(2001)
"
Drama, History, Romance            ",42,The Affair of the Necklace,6.1,118 min,4761,(2001)
"
Drama            ",88,L'emploi du temps,7.4,134 min,4418,(2001)
"
Comedy, Romance            ",34,Town & Country,4.4,104 min,4402,(2001)
"
Drama, Comedy, Sci-Fi            ",56,CQ,6.3,88 min,4346,(2001)
"
Comedy, Horror, Sci-Fi            ",45,The Lost Skeleton of Cadavra,7.0,90 min,4336,(2001)
"
Drama, Romance            ",44,The Center of the World,5.9,88 min,4283,(2001)
"
Comedy, Drama            ",75,La Ciénaga,7.0,103 min,4278,(2001)
"
Comedy, Romance            ",46,All Over the Guy,6.6,95 min,4173,(2001)
"
Comedy, Family, Fantasy            ",50,Minoes,6.9,86 min,4170,(2001)
"
Drama            ",67,Me Without You,7.0,107 min,4093,(2001)
"
Drama            ",61,Shiqi sui de dan che,7.3,113 min,4042,(2001)
"
Comedy, Crime            ",49,"Scotland, Pa.",6.8,104 min,4028,(2001)
"
Drama, Romance            ",79,Ni na bian ji dian,7.3,116 min,4011,(2001)
"
Comedy, Crime, Drama            ",49,Harvard Man,4.9,99 min,3962,(2001)
"
Drama            ",58,The Safety of Objects,6.6,121 min,3902,(2001)
"
Drama, Romance            ",57,The Man from Elysian Fields,6.7,106 min,3886,(2001)
"
Comedy, Family, Romance            ",34,On the Line,4.1,85 min,3826,(2001)
"
Comedy, Romance, Drama            ",58,Tortilla Soup,6.6,102 min,3785,(2001)
"
Drama, War            ",55,Invincible,6.5,133 min,3781,(2001)
"
Drama, Romance            ",73,Qianxi mànbo,7.0,119 min,3777,(2001)
"
Comedy, Crime            ",36,Who Is Cletis Tout?,6.4,92 min,3670,(2001)
"
Comedy, Drama            ",50,The Brothers,6.4,106 min,3631,(2001)
"
Documentary, War            ",79,War Photographer,8.0,96 min,3615,(2001)
"
Comedy, Drama, Fantasy            ",36,No Such Thing,6.2,102 min,3612,(2001)
"
Adventure, Biography, Drama            ",38,The Other Side of Heaven,6.5,113 min,3593,(2001)
"
Drama            ",51,An American Rhapsody,6.8,106 min,3544,(2001)
"
Drama, Thriller            ",67,The Business of Strangers,6.4,84 min,3514,(2001)
"
Horror, Mystery, Thriller            ",63,Wendigo,5.0,91 min,3475,(2001)
"
Comedy, Romance, Drama            ",37,Crush,5.9,108 min,3428,(I) (2001)
"
Comedy, Drama, Romance            ",57,Ma femme est une actrice,6.5,95 min,3385,(2001)
"
Biography, Drama, History            ",55,Juana la Loca,6.7,115 min,3383,(2001)
"
Action, Comedy, Drama            ",47,"Was tun, wenn's brennt?",6.9,101 min,3324,(2001)
"
Action, Drama, Comedy            ",39,High Heels and Low Lifes,6.2,86 min,3210,(2001)
"
Documentary            ",75,Startup.com,7.1,107 min,3126,(2001)
"
Drama, Music, War            ",61,Taking Sides,7.2,108 min,2948,(2001)
"
Comedy, Drama, Family            ",52,Little Secrets,6.5,96 min,2871,(2001)
"
Musical, Comedy, Sci-Fi            ",51,The American Astronaut,7.2,91 min,2818,(2001)
"
Drama            ",40,The Invisible Circus,5.6,93 min,2809,(2001)
"
Drama, Romance            ",53,Focus,6.8,106 min,2805,(I) (2001)
"
Comedy, Drama, Romance            ",82,Hatuna Meuheret,7.2,102 min,2802,(2001)
"
Action, Sci-Fi            ",59,Shurayukihime,5.8,92 min,2676,(2001)
"
Drama, Romance, Thriller            ",54,The Bank,6.6,104 min,2642,(2001)
"
Drama, Comedy, Romance            ",53,The Fluffer,5.7,95 min,2587,(2001)
"
Documentary, Music            ",77,Scratch,7.9,92 min,2559,(2001)
"
Drama            ",62,Éloge de l'amour,6.5,97 min,2494,(2001)
"
Documentary            ",80,Promises,8.4,106 min,2479,(2001)
"
Comedy, Horror            ",48,Elvira's Haunted Hills,5.9,90 min,2415,(2001)
"
Action, Adventure, Fantasy            ",35,Megiddo: The Omega Code 2,4.2,104 min,2397,(2001)
"
Drama, History, Romance            ",72,L'Anglaise et le duc,7.0,129 min,2369,(2001)
"
Action, Comedy, Drama            ",19,All the Queen's Men,4.6,99 min,2353,(2001)
"
Comedy, Drama, Fantasy            ",69,Akai hashi no shita no nurui mizu,6.9,119 min,2309,(2001)
"
Comedy, Drama, Romance            ",60,The Emperor's New Clothes,7.0,108 min,2294,(2001)
"
Drama, Crime, Romance            ",42,Love the Hard Way,6.4,104 min,2287,(2001)
"
Comedy, Romance            ",37,"Dieu est grand, je suis toute petite",5.4,95 min,2284,(2001)
"
Adventure, Drama            ",65,The Warrior,6.8,86 min,2280,(2001)
"
Adventure, Drama, Fantasy            ",87,The Lord of the Rings: The Two Towers,8.7,179 min,1279885,(2002)
"
Biography, Crime, Drama            ",75,Catch Me If You Can,8.1,141 min,670321,(2002)
"
Crime, Drama            ",79,Cidade de Deus,8.6,130 min,615121,(2002)
"
Action, Adventure, Sci-Fi            ",73,Spider-Man,7.3,121 min,613707,(2002)
"
Biography, Drama, Music            ",85,The Pianist,8.5,150 min,601880,(2002)
"
Action, Adventure, Fantasy            ",54,Star Wars: Episode II - Attack of the Clones,6.6,142 min,547922,(2002)
"
Adventure, Family, Fantasy            ",63,Harry Potter and the Chamber of Secrets,7.4,161 min,461345,(2002)
"
Action, Mystery, Thriller            ",68,The Bourne Identity,7.9,119 min,460001,(2002)
"
Action, Adventure, Crime            ",80,Minority Report,7.7,145 min,451453,(2002)
"
Animation, Adventure, Comedy            ",60,Ice Age,7.5,81 min,378231,(2002)
"
Crime, Drama            ",72,Gangs of New York,7.5,167 min,357184,(2002)
"
Drama, Horror, Sci-Fi            ",73,28 Days Later...,7.6,113 min,333801,(2002)
"
Drama, Mystery, Sci-Fi            ",59,Signs,6.7,106 min,302793,(2002)
"
Action, Adventure, Comedy            ",49,Men in Black II,6.1,88 min,297199,(2002)
"
Action, Drama, Sci-Fi            ",33,Equilibrium,7.5,107 min,287335,(2002)
"
Horror, Mystery            ",57,The Ring,7.1,115 min,287208,(2002)
"
Action, Crime, Thriller            ",51,The Transporter,6.8,92 min,261525,(2002)
"
Drama, Mystery, Thriller            ",78,Insomnia,7.2,118 min,245529,(2002)
"
Crime, Thriller            ",56,Phone Booth,7.1,81 min,229628,(2002)
"
Crime, Drama, Thriller            ",65,Panic Room,6.8,112 min,229248,(2002)
"
Action, Horror, Sci-Fi            ",33,Resident Evil,6.7,100 min,224293,(2002)
"
Crime, Drama, Thriller            ",60,Red Dragon,7.2,124 min,224144,(2002)
"
Crime, Drama, Thriller            ",72,Road to Perdition,7.7,117 min,221721,(2002)
"
Drama, Music            ",77,8 Mile,7.1,110 min,217198,(2002)
"
Comedy, Crime, Musical            ",82,Chicago,7.2,113 min,194056,(2002)
